date,Change,label
2021-11-24,25.68017578125,up
2021-11-26,-70.009765625,down
2021-11-29,26.52001953125,up
2021-11-30,-73.25,down
2021-12-01,-89.77978515625,down
2021-12-02,72.3701171875,up
2021-12-03,-51.06005859375,down
2021-12-06,43.2998046875,up
2021-12-07,54.77978515625,up
2021-12-08,10.35009765625,up
2021-12-09,-23.5498046875,down
2021-12-10,24.3798828125,up
2021-12-13,-41.32958984375,down
2021-12-14,-8.900390625,down
2021-12-15,73.39013671875,up
2021-12-16,-50.4599609375,down
2021-12-17,-31.85986328125,down
2021-12-20,-19.8798828125,down
2021-12-21,54.27001953125,up
2021-12-22,46.2001953125,up
2021-12-23,21.830078125,up
2021-12-27,57.19970703125,up
2021-12-28,-9.14013671875,down
2021-12-29,4.419921875,up
2021-12-30,-15.5,down
2021-12-31,-9.02978515625,down
2022-01-03,18.419921875,up
2022-01-04,-10.9697265625,down
2022-01-05,-87.41015625,down
2022-01-06,2.65966796875,up
2022-01-07,-20.63037109375,down
2022-01-10,14.9501953125,up
2022-01-11,43.9296875,up
2022-01-12,-2.23974609375,down
2022-01-13,-74.5302734375,down
2022-01-14,24.85986328125,up
2022-01-18,-55.13037109375,down
2022-01-19,-55.27001953125,down
2022-01-20,-64.6201171875,down
2022-01-21,-73.43994140625,down
2022-01-24,53.81005859375,up
2022-01-25,-10.18994140625,down
2022-01-26,-58.5,down
2022-01-27,-54.0703125,down
2022-01-28,95.66015625,up
2022-01-31,83.759765625,up
2022-02-01,26.97021484375,up
2022-02-02,22.98974609375,up
2022-02-03,-57.97021484375,down
2022-02-04,17.73974609375,up
2022-02-07,-21.8798828125,down
2022-02-08,41.52001953125,up
2022-02-09,40.18017578125,up
2022-02-10,-49.16015625,down
2022-02-11,-87.6298828125,down
2022-02-14,-10.93994140625,down
2022-02-15,41.7900390625,up
2022-02-16,19.259765625,up
2022-02-17,-75.80029296875,down
2022-02-18,-35.69970703125,down
2022-02-22,-27.98046875,down
2022-02-23,-99.43017578125,down
2022-02-24,132.93017578125,up
2022-02-25,86.27001953125,up
2022-02-28,19.77001953125,up
2022-03-01,-56.88037109375,down
2022-03-02,63.97998046875,up
2022-03-03,-37.81982421875,down
2022-03-04,-13.25,down
2022-03-07,-125.919921875,down
2022-03-08,-31.9599609375,down
2022-03-09,54.77978515625,up
2022-03-10,6.97021484375,up
2022-03-11,-75.18994140625,down
2022-03-14,-29.64013671875,down
2022-03-15,73.63037109375,up
2022-03-16,69.7197265625,up
2022-03-17,66.56005859375,up
2022-03-18,55.7802734375,up
2022-03-21,-1.2197265625,down
2022-03-22,42.509765625,up
2022-03-23,-36.85986328125,down
2022-03-24,50.18017578125,up
2022-03-25,20.14990234375,up
